question,label
학교에 언제가나요 일본어 뭐에요,번역
일본어 시장에 왔어요 뭐에요,번역
바지를 입어야해요 일본어 뭐에요,번역
일본어 초밥이 먹고싶어요 뭐에요,번역
설거지를 해야해요 중국어 뭐에요,번역
칠판이 깨끗하군요를 중국어 어떻게 말해요,번역
침대에 누워요를 중국어 뭐에요,번역
가방 들어요 중국어 뭐에요,번역
중국어 이거 얼마에요 뭐에요,번역
이거 스페인어 뭔지 알려줄래요,번역
파이프 스페인어 번역요,번역
탱크 스페인어 번역해주세요,번역
스페인어 번역해주세요,번역
이 단어 스페인어 번역해줄래요,번역
스페인어 여자 뭔지 말해줘요,번역
수납장 스페인어 말해주세요,번역
이거 영어 뭔지 알려줄래요,번역
미안해 영어 번역해줘,번역
아이오아이 누구인가요,위키인물
브루노 마스 누군지 알아요,위키인물
박미래 누군지 알고있나요,위키인물
김희철 대해서 알려줘,위키인물
유재석 누구더라,위키인물
박명수 누구죠,위키인물
전봉준 누구더라,위키인물
김대건 누구,위키인물
황진이 대해 설명해줘,위키인물
홍경래 누구인지 설명,위키인물
미국 대통령 누구라고요,위키인물
윤미래 누구인가요,위키인물
누구인가요 우원재,위키인물
이육사 누구인가요,위키인물
신서희 누구인가요,위키인물
김태희 누군지 궁금해요,위키인물
정준영 누군지 알아요,위키인물
한국 대통령 누구,위키인물
UN 사무총장 누구,위키인물
중국 칭따오 어디죠,위키인물
제일 잘 팔리는 맥주 뭔가요,위키인물
돼지고기 부위 종류 알려줘,위키인물
세상에서 제일 높은 산 뭔가요,위키인물
모기 종류 알려줘,위키인물
천둥 대해서 알려줘요,위키인물
메이웨더 대해서 알려줘요,위키인물
늑대 대해서 알려줄래,위키인물
라면 종류 알려줘,위키인물
도깨비 대해서 알려줘요,위키인물
러블리즈 노래 들을래요,음악
여자친구 걸그룹 노래 들려줘요,음악
태양의 후예 ost 들려 줄래요,음악
2ne1 노래 듣고 싶어져요,음악
모모랜드 노래 들을래요,음악
aoa 노래 들을래요,음악
애프터스쿨 노래 알아요,음악
우주소녀 노래 들려줘요,음악
아스트로 오빠들 노래 틀어주세요,음악
스나이퍼 노래 들을래요,음악
로꼬 노래 좋더세요,음악
애드시어런 노래 들려줘,음악
혁오 밴드 노래 듣고 싶어요,음악
감성 힙합 추천해주라,음악
가슴 아픈 발라드 들려줘,음악
잭스키스 아프지 마요 들을래,음악
요즘 가요 추천해줘,음악
신나는 EDM 음악 들려줘,음악
장범준 노래 들을래,음악
오왼 노래 들을래 노래요,음악
리쌍 음악 슬프더라 들려줘요,음악
창모 노래 들려줘요,음악
라붐 노래 들려주세요,음악
노엘 영비 한요한 헬리콥터 들려줘요,음악
릴보이 노래 들려줘요,음악
기리보이 노래 들려줘요,음악
홍진영 노래 들을래요,음악
구수한 트로트 틀어줄래요,음악
김범수 노래 틀어 줬으면 좋겠네,음악
이수 노래 들려줬으면 좋겠어,음악
빅뱅 좋다 들려 주라,음악
아이돌 그룹 노래 듣고 싶은데,음악
샤이니 음악 들려줘	음악,음악
아이돌 그룹 음악 틀어줘,음악
그루비룸이 프로듀스한 노래 들려줘,음악
코드 쿤스트 노래 들려줘,음악
자이언티 노래 듣고싶네,음악
양화대교 틀어주라,음악
아이돌 음악 듣고,음악
알앤비 소울 들려줘요,음악
스윙스 노래 들을래요,음악
먼데이 키즈 가울안부 들려줘요,음악
백예린 신곡 들을래요,음악
장범준 3집 나왔던데 노래 틀어줘요,음악
엔플라잉 옥탑방 노래 틀어줘요,음악
재키와이 노래 들을래요,음악
백재범 노래 들을래요,음악
비 노래 깡 듣고 싶다,음악
영화 ost 추천해줘,음악
마룬 파이브 노래 들려줘,음악
트와이스 노래 들려주겠니,음악
다비치 들려줘,음악
원더걸스 추억 노래 추천해줘,음악
미스에이 노래 들려주라,음악
포미닛 노래 들려줘,음악
빅뱅 뱅뱅뱅 노래 틀어줘,음악
그레이 노래 들려줘,음악
고등래퍼 히트곡 틀어 주라,음악
하기나 해 노래 들려줘,음악
크러쉬 노래 추천해줘,음악
블루스 음악 들을래,음악
재즈 음악 추천해줘,음악
드라마 ost 들려주라,음악
노래 하나만 추천 해줄래,음악
오늘 날짜 좀 알려줘,날짜시간
어제 무슨 날인지 알려줄래,날짜시간
오늘 며칠인지 알려주라,날짜시간
어제 무슨 날이였니,날짜시간
오늘 며칠인지 알고 있니,날짜시간
그제 요일 알려줘,날짜시간
오늘 날짜 좀 알려줘,날짜시간
지금 시간 알려주라,날짜시간
몇 시 몇 분이야,날짜시간
시간 알려줄 수 있니,날짜시간
지금 시간 알려줄래,날짜시간
지금 몇 신지 아니,날짜시간
시간이 어떻게 되니,날짜시간
지금 시간 알려주라,날짜시간
현재 몇시야,날짜시간
현재 시간 궁금해,날짜시간
지금 시간 좀 알려달라고,날짜시간
지금 시간 좀 알려줘,날짜시간
지금 몇 시 몇 분인지 아니,날짜시간
현재 시간 알려주겠니,날짜시간
현재 몇 시냐고 물어봤어,날짜시간
지금 시간 몇 시인지 알려달라고,날짜시간
이제 몇 시 몇 분이야,날짜시간
이제 시간 알려줄 수 있니,날짜시간
이제 시간 알고싶어,날짜시간
웃긴 농담 들려줘,농담
재밌는 농담 따먹기 해줘요,농담
즐거운 이야기 해주세요,농담
재미있는 말 들려줄 수 있나요,농담
재밌는 농담 들려주세요,농담
재밌는 얘기 해줄래요,농담
즐거운 얘기 해줄래요,농담
농담 해줄래요,농담
즐거운 이야기 해줘요,농담
웃긴 얘기 해줘요,농담
웃긴 이야기 해주세요,농담
나한테 웃긴 이야기 해줘요,농담
재밌는 농담 좀 해봐,농담
너 나한테 재밌는 농담 들려줘야 해,농담
저기 재밌는 농담 들려주겠나요,농담
저한테 재밌는 농담 들려주세요,농담
저 혹시 재밌는 농담 좀 들려주세요,농담
재밌는 농담 한 번만 부탁합니다,농담
재미있는 농담 들려줘요,농담
즐거운 농담 해줄래요,농담
웃긴 농담 하나 들려줘요,농담
우스운 농담 하나 해줄래요,농담
재밌는 농담 하나만 들려주세요,농담
와이파이 불안해,기기조작
와이파이 켜주라,기기조작
와이파이 끄고싶어,기기조작
와이파이 켜고 싶어,기기조작
블루투스 켜줘,기기조작
블루투스 꺼주라,기기조작
블루투스 꺼주겠니,기기조작
wifi 불안해 졌어,기기조작
wifi 확인해봐,기기조작
wifi 켜주라,기기조작
wifi 켜고싶어,기기조작
볼륨 줄여줘,기기조작
볼륨 너무 크네,기기조작
볼륨 크다니까,기기조작
볼륨 너무 커요,기기조작
볼륨 크다고,기기조작
볼륨 낮춰줘,기기조작
볼륨 낮춰줘,기기조작
소리 좀 낮춰줘,기기조작
소리 낮춰줘,기기조작
소리 키워줘 좀,기기조작
소리 줄여줄래,기기조작
소리 너무 크구나,기기조작
소리 좀 줄여달라고,기기조작
소리 크네,기기조작
설정 틀어주세요,기기조작
설정 켜줄래,기기조작
설정 화면 켜줘,기기조작
오후 2시 알람 맞출래,기기조작
새벽 2시 25분알람 맞출래,기기조작
점심 2시 알람 맞출래,기기조작
저녁 8시 12분 알람 맞출래요,기기조작
밤 12시 알람 맞출래요,기기조작
밤 2시 알람 맞출래,기기조작
밤 열두시 12분 알람 맞출래요,기기조작
오늘 오후 5시 알람 취소해줘,기기조작
오늘 점심 12시 알람 맞춰주세요,기기조작
10시간 후 알람 맞춰주세요,기기조작
아침 7시  알람 맞춰주세요,기기조작
1시간 뒤 알람 맞춰주세요,기기조작
오늘 오후 알람 취소해줘요,기기조작
내일 오후 5시 알람 취소해줘,기기조작
밤 아홉시 설정했던 알람 취소해줘,기기조작
ㅋㅋㅋ,잡담
ㅋㅋ,잡담
ㅋ,잡담
ㅎㅎㅎ,잡담
ㅎㅎ,잡담
ㅎ,잡담
ㄴㄴㄴ,잡담
ㄴㄴ,잡담
ㅠㅠㅠ,잡담
ㅠㅠ,잡담
ㅂㅂㅂ,잡담
ㅂㅂ,잡담
ㄷㄷㄷ,잡담
ㄷㄷ,잡담
ㅅㄱ,잡담
ㄳ,잡담
ㅎㅎㅎㅎㅎ,잡담
ㅋㅋㅋㅋㅋ,잡담
뭐하니 ㅎㅎ,잡담
심심한데 나,잡담
놀아줘,잡담
나 너무 심심해,잡담
나 놀아주라,잡담
심심해 돌아가시겠어,잡담
너 뭐하고 있어 지금,잡담
아니 그런거 아니야,잡담
아니거든 바보,잡담
너 말 못알아 듣네,잡담
하나 못알아 듣는구나,잡담
멍청하다 진짜,잡담
바보구나 말 모르네,잡담
ㅋㅋㅋ 게임 좋아해서 해보려고,잡담
무슨 게임 하는데 너는,잡담
나 음악 너무 좋아 ㅎㅎ,잡담
특히 나 밴드 음악 좋더라,잡담
아하 나 힙합 좋아 신나잖아,잡담
그럼 이제 무슨말 할까,잡담
할말 없구나 이제 ㅂㅂ,잡담
축구 좋아하니 ㅋㅋ,잡담
나 농구 엄청 좋아하거든,잡담
어제 손흥민 골 넣은 거 봤니,잡담
우와 완전 대박이더라 그거,잡담
지금 다시 보고싶다,잡담
인터넷 검색해보면 나오잖아,잡담
시간 많이 없어서 그래,잡담
아 그렇구나 평소 뭐하는데,잡담
요즘 그냥 저냥 지내지,잡담
너 설마 인공지능이냐,잡담
인공지능 아니지 너,잡담
빅스비 알아 너,잡담
시리 누군지 아니,잡담
과제 언제까지더라,잡담
기억 안나네 큰일이다 ㄷㄷㄷ,잡담
저장했었나 그 때,잡담
미안해 정말,잡담
정말 잘못했어,잡담
하 술 마시고싶다,잡담
노래 진짜 좋네,잡담
나 용서해줘 ㅠㅠ,잡담
혹시 에어팟 봤니,잡담
책상 위 없네,잡담
혹시 지갑 어딨는지 아니,잡담
오늘 엄마 김치찌개 해주신데,잡담
이따 외식한다 ㅋㅋ,잡담
완전 기대 중 ㅎ,잡담
겁나 기대돼 진짜,잡담
빨리 취직하고 싶다,잡담
언제 취직할까 ㅠ,잡담
어서 졸업하고 싶다,잡담
학교 너무 지겨워,잡담
회사 그만둘까 ㄷㄷ,잡담
솔직히 부장님 잘못했지,잡담
나 별로 잘못한 것 없는데,잡담
나 욕먹을 이유 없어,잡담
회식 가기 싫다,잡담
오늘 남자친구랑 데이트 해,잡담
그래서 엄청 이쁘게 꾸몄지,잡담
여자친구 사귀고 싶다,잡담
여자친구 어디계시나요,잡담
남자친구 헤어지자고 하네,잡담
너무한거 아니니 나빠,잡담
영어 잘해지고 싶다 하,잡담
영어 어떻게 하면 잘해지지,잡담
오늘 담임 선생님한테 들었어,잡담
내 단짝 친구 전학간데,잡담
할머니랑 같이 갈 거야,잡담
남편 오늘 야근한데서 야식 달리는 중,잡담
와이프 오늘 생일이라서 그래,잡담
친구한테 방금 카톡 왔어,잡담
페이스북 알림 왔네 ㅋㅋ,잡담
뉴스 기사 읽고 있었어,잡담
밖 겁나 시끄럽네 조용히 했으면,잡담
이번 달 가스요금 많이 나왔어,잡담
휴대폰 어떤 걸로 바꿀까,잡담
갤럭시 좋아 아이폰 좋아,잡담
내일 친구랑 같이 술 마셔 ㅎㅎ,잡담
많이 마시면 안되는데 걱정이다,잡담
오랜만 딸이랑 시내 데이트 중,잡담
침대 완전 푹신해 ㅠㅠ,잡담
일어나기 싫다 정말,잡담
계속 자고싶어 행복해,잡담
회사 가야하는데 가기 싫다 ㅠ,잡담
여자친구 생일 선물 뭐 살까,잡담
냉장고 텅텅 비었네 ㄷㄷ,잡담
라면 하나 없구나 지금,잡담
지금 티비 좋아하는 연예인 나와,잡담
싸이버거 진짜 맛있구나,잡담
맥도날드 감자튀김 맛있네,잡담
교촌치킨 허니콤보 진짜 맛있어,잡담
자취방 너무 더러워졌다,잡담
와이프한테 혼나겠다 이거,잡담
오늘 아들 졸업하네 벌써,잡담
오늘 조카 돌잔치 가야해,잡담
친구들 다 예뻐졌어,잡담
친구들 노래방 가고 싶어,잡담
즐거운 시간 될 거 같아,잡담
친구들 맛난거 먹고 싶다,잡담
조금씩 더 행복해 질거 같아,잡담
친구들 맛집 가고 싶어,잡담
네가 죽는다는 꿈을 꾸었어,잡담
괜찮아지겠지 곧,잡담
네번 헤어졌습니다,잡담
헤어짐 항상 힘들어,잡담
노래 가사 참,잡담
노래 듣는데 참 공감이 되네,잡담
노래가 정말 가슴이 찢어지내,잡담
노래를 듣다가 눈물 나,잡담
잘못한 게 돼버렸어,잡담
잘 자,잡담
잘자렴,잡담
잘자 ㅎㅎ,잡담
잘 지내,잡담
내 꿈 꿔,잡담
잘하는 게 뭔지 모르겠어,잡담
잘하는 게 뭘까,잡담
잘하는 게 없는 것 같아,잡담
고백했는데 답장이 없어,잡담
고백했다 차이면 어쩌지,잡담
공시 붙자 마자 결혼하재,잡담
공시 준비하는데 연애하면 안되겠지,잡담
공시생인데 연애 해도 될까,잡담
공휴일에 데이트하자고 해봐야지,잡담
과묵한 타입인건가,잡담
과함 설렘 후에 지금은 안 설레,잡담
관심을 받는다는 거,잡담
나 정말 진심인데 ㅠㅠ,잡담
짝남 외국인인데 어떡해,잡담
처음 연애해봐,잡담
혼자 썸 타는 부분인가,잡담
나 혼자 썸일까,잡담
알바하기 너무 힘들다,잡담
세상에 쉬운 일은 없어,잡담
알바하는데 같이 일하는 사람 좋아,잡담
알아들은 척했는데 모르겠어,잡담
천천히 말해달라고 부탁해봐,잡담
앞머리 길러볼까,잡담
앞머리 내릴까,잡담
앞머리 다시 길러볼까,잡담
숙제 쌓여가,잡담
숙취 장난 아니야,잡담
순간의 화를 못 참겠어,잡담
술 땡긴다 ㅋㅋ,잡담
술 끊을거야,잡담
담배 끊을거야,잡담
담배 끊어야지,잡담
언제쯤 무뎌질까,잡담
언제쯤 벗어날 수 있을까,잡담
언제쯤 예쁘게 화장 잘할까,잡담
카톡 프사 무슨 의미일까,잡담
컴퓨터 맛 갔어 ㄷㄷ,잡담
하소연 좀 해도 되나 ㅠㅠ,잡담
하이고 숨막힌다,잡담
하 진짜 열받아서,잡담
말 안나오네 진짜 화나,잡담
항상 면접 보면 떨어져,잡담
면접 코앞이야 ㄷㄷ,잡담
면허 따야하나,잡담
운전 면허 딸까봐,잡담
ㅠㅠㅠ 명절 다가오니까 스트레스,잡담
명절 스트레스,잡담
뭐하고 놀지 ㅎㅎ,잡담
나랑 놀아주라 좀,잡담
뭐하고 살지,잡담
어떻게든 되겠지 ㅋㅋㅋ,잡담
뭐하냐 ㅠ,잡담
지금 일한다,잡담
뭐하는 분이세요,잡담
뭐하면 시간 잘 갈까,잡담
밤 12시야,잡담
밤 샜어 ㅠㅠ,잡담
잠 안 와,잡담
양 세어 봐,잡담
밥 너무 많이 남음,잡담
밥 많이 먹었다 ㅋㅋㅋ,잡담
옷에 흘렸어,잡담
몸 천근만근이다,잡담
피로를 풀어야 할 것 같아,잡담
못 알아들었어,잡담
천천히 말해 ㅋㅋ,잡담
못하는 게 없어,잡담
나 좀 소개시켜줘,잡담
못하는 거 투성이야,잡담
잘하는 것 많아,잡담
물 끓여,잡담
부지런하네,잡담
물 너무 차가워,잡담
보일러 켜,잡담
물 마셔야지,잡담
좋은 건강습관이지,잡담
뭘 해도 재미없다 ㅠ,잡담
생각 바뀔 수도 있어,잡담
뭘하면 행복할까,잡담
인생 즐기는 거지,잡담
뭘해도 귀여워 ㅎㅎㅎ,잡담
진짜 사랑하나봐,잡담
뭐 중요한지 모르겠어,잡담
우선순위 정해봐,잡담
미끄러질 뻔했어,잡담
다치지 않았나 걱정이네,잡담
미드 보고싶다,잡담
영화 보고 싶어,잡담
반 배정 잘 될까,잡담
잘 되길 바란다,잡담
반가워,잡담
나도 반가워요,잡담
반가워요 반갑구만,잡담
안녕 반갑습니다,잡담
반갑습니다,잡담
배고픈 거 같아,잡담
뭐라도 좀 먹어,잡담
배달 중이래 ㅋㅋ,잡담
곧 오겠네 ㅎㅎㅎ,잡담
배부르고 졸려,잡담
한 숨 자려고,잡담
지금 너무 졸리다,잡담
낮잠 자는 것도 좋아,잡담
배불러 ㅠ,잡담
산책 해야겠네,잡담
추억 있나봐,잡담
버스 안와,잡담
고장 났나봐,잡담
버스 왜 이렇게 안오지,잡담
변화 없어,잡담
마음 따라 얼마든지 바뀔 수 있지,잡담
변화 좀 주고 싶다,잡담
별 보러 가고 싶다,잡담
로맨틱하다,잡담
복근 만들어야지,잡담
운동 시작해보려고,잡담
복붙 끝내주더라,잡담
그 것 능력이지,잡담
복수 전공하고 싶어,잡담
복전 신청했어,잡담
많이 배우면 좋지,잡담
블루투스 이어폰 살까,잡담
아마 사면 편하겠죠,잡담
비 맞아서 옷 젖었어,잡담
감기 조심 해야지,잡담
바람 좀 쐬고 오면 좋은텐데,잡담
뿌리 염색 다시 해야 되겠다,잡담
뿌염해야지,잡담
참 귀찮은 일이야,잡담
사과 안해,잡담
사귀고 싶어 ㅠㅠ,잡담
비밀 연애 하고 있어,잡담
스릴 있겠네 ㅋ,잡담
상처받았어,잡담
신경쓰지 마 그런 거,잡담
상황 안 좋아,잡담
새 신발 선물 받았다,잡담
새 옷 샀다 ㅎㅎ,잡담
오늘 개시해봐,잡담
서류에서 떨어졌어,잡담
붙는 곳 있겠지,잡담
서비스센터 가야겠네,잡담
미루지말고 바로 가봐 ㅋㅋ,잡담
오늘은 또 어떻게 버티지,잡담
내일은 나을 거야,잡담
오늘은 별 안 보이네,잡담
오늘은 쉬고 싶다,잡담
아무 생각 하지 말고 쉬어,잡담
감기 오려나,잡담
목소리 좋아,잡담
듣고 싶네,잡담
방 엉망이야 진짜,잡담
설거지 언제하지 귀찮아 ㅠ,잡담
청소 해야하는데 귀찮네,잡담
공무원 되면 좋겠다,잡담
딥러닝 물어보는 사람 있겠지 ㅎ,잡담
그치만 대답해줄 수 없지 ㅋ,잡담
데이터 만드는 거 참 힘들다,잡담
개발자 참 힘든 직업이야,잡담
와 드디어 끝났다,잡담
전 이제 갑니다 안녕,잡담
